age,count,sum
42,378778,285255144
41,421711,319457993
66,94272,73421773
98,22,24624
35,655902,509403356
24,198083,172700336
26,468678,380689405
99,257,79023
64,126754,98462025
30,758927,594686331
71,29551,23767141
36,606547,455720580
87,606,454223
48,308804,237733418
25,338523,292010158
29,716020,565291514
58,226234,177497332
27,612905,485399546
32,774127,635119063
45,339768,263535170
114,3,2890
89,187,179493
93,7,8596
47,316752,245325696
73,25531,20427009
76,9213,6906093
51,1756269,2563633863
88,784,509755
60,202161,156505588
108,494,459595
74,20827,16284851
52,284697,225857993
20,54688,52560887
44,355335,269538508
28,675944,523026708
100,7,12426
109,20,27098
65,95675,78838692
54,256284,198883825
75,10223,7367486
104,76,72803
57,239278,185919307
101,92,150066
107,16,20654
78,10146,7466106
69,49758,40903106
38,537200,410566254
40,452935,348868519
97,1479,1368034
96,403,190095
95,1,1516
83,2619,2153051
115,1,7046
37,558809,425125853
91,115,66914
18,7911,8611941
92,6,10905
113,80,91071
86,878,658317
59,196721,153344711
80,5070,3546571
63,142291,117859229
103,149,109155
23,152698,128981138
49,317661,243470954
46,321587,246473968
102,136,81494
62,153308,120358755
81,1718,1548934
110,368,128245
79,7449,5950939
33,700018,544082341
116,19,9937
72,29028,23186778
61,171379,134968542
17,57,55098
21,89525,83369033
43,364027,280015852
67,81974,63773919
94,37,17661
68,53855,42639414
84,1056,555030
22,117804,101207062
34,669057,511814683
39,496783,375245942
111,192,416850
77,7818,7236442
105,31,26528
53,275702,206320763
31,755649,589925907
85,1016,3074520
90,415,401661
82,1784,1240078
19,25588,23911382
55,248914,191284185
50,344361,268499450
70,37583,30148302
56,250835,191332708
