count,start_station_id,start_station_name
160522,519,Pershing Square North
116195,497,E 17 St & Broadway
114883,435,W 21 St & 6 Ave
112874,402,Broadway & E 22 St
99928,285,Broadway & E 14 St
99044,426,West St & Chambers St
93800,477,W 41 St & 8 Ave
92216,490,8 Ave & W 33 St
91531,499,Broadway & W 60 St
88955,293,Lafayette St & E 8 St
86872,3255,8 Ave & W 31 St
86442,514,12 Ave & W 40 St
85706,368,Carmine St & 6 Ave
83239,281,Grand Army Plaza & Central Park S
82499,358,Christopher St & Greenwich St
82353,2006,Central Park S & 6 Ave
81154,459,W 20 St & 11 Ave
81038,3002,South End Ave & Liberty St
80850,229,Great Jones St
80654,379,W 31 St & 7 Ave
80522,382,University Pl & E 14 St
79994,359,E 47 St & Park Ave
79945,505,6 Ave & W 33 St
79843,3641,Broadway & W 25 St
79265,492,W 33 St & 7 Ave
77929,3263,Cooper Square & Astor Pl
77474,151,Cleveland Pl & Spring St
75962,168,W 18 St & 6 Ave
74589,387,Centre St & Chambers St
74408,523,W 38 St & 8 Ave
73206,3164,Columbus Ave & W 72 St
72761,3435,Grand St & Elizabeth St
71949,504,1 Ave & E 16 St
71899,465,Broadway & W 41 St
71251,491,E 24 St & Park Ave S
70607,445,E 10 St & Avenue A
69156,3660,W 16 St & 8 Ave
68758,446,W 24 St & 7 Ave
68702,327,Vesey Pl & River Terrace
67529,432,E 7 St & Avenue A
66666,173,Broadway & W 49 St
65836,462,W 22 St & 10 Ave
65111,482,W 15 St & 7 Ave
64917,128,MacDougal St & Prince St
64834,127,Barrow St & Hudson St
64558,453,W 22 St & 8 Ave
64438,486,Broadway & W 29 St
64298,472,E 32 St & Park Ave
64033,3427,Lafayette St & Jersey St
63591,405,Washington St & Gansevoort St
63190,509,9 Ave & W 22 St
62641,442,W 27 St & 7 Ave
61931,457,Broadway & W 58 St
61918,479,9 Ave & W 45 St
61810,3141,1 Ave & E 68 St
61489,483,E 12 St & 3 Ave
61146,496,E 16 St & 5 Ave
60812,494,W 26 St & 8 Ave
60456,498,Broadway & W 32 St
59796,458,11 Ave & W 27 St
59775,466,W 25 St & 6 Ave
59661,3260,Mercer St & Bleecker St
58820,517,Pershing Square South
58702,450,W 49 St & 8 Ave
58500,3233,E 48 St & 5 Ave
58017,545,E 23 St & 1 Ave
57908,237,E 11 St & 2 Ave
57569,518,E 39 St & 2 Ave
57431,507,E 25 St & 2 Ave
57284,487,E 20 St & FDR Drive
57077,297,E 15 St & 3 Ave
56912,3167,Amsterdam Ave & W 73 St
56801,468,Broadway & W 56 St
56457,3258,W 27 St & 10 Ave
55857,347,Greenwich St & W Houston St
55781,312,Allen St & Stanton St
55702,3256,Pier 40 - Hudson River Park
55669,336,Sullivan St & Washington Sq
55261,251,Mott St & Prince St
55176,236,St Marks Pl & 2 Ave
54700,307,Canal St & Rutgers St
53712,3165,Central Park West & W 72 St
53601,461,E 20 St & 2 Ave
53067,438,St Marks Pl & 1 Ave
52953,3443,W 52 St & 6 Ave
52825,403,E 2 St & 2 Ave
52808,531,Forsyth St & Broome St
52241,2008,Little West St & 1 Pl
52125,380,W 4 St & 7 Ave S
51240,401,Allen St & Rivington St
51197,2003,1 Ave & E 18 St
50950,528,2 Ave & E 31 St
50658,383,Greenwich Ave & Charles St
50251,540,Lexington Ave & E 29 St
50096,326,E 11 St & 1 Ave
49907,2021,W 45 St & 8 Ave
49851,537,Lexington Ave & E 24 St
49787,478,11 Ave & W 41 St
49650,315,South St & Gouverneur Ln
49101,334,W 20 St & 7 Ave
49093,3163,Central Park West & W 68 St
48977,410,Suffolk St & Stanton St
48761,265,Stanton St & Chrystie St
48755,3282,5 Ave & E 88 St
48687,417,Barclay St & Church St
48418,530,11 Ave & W 59 St
48378,529,W 42 St & 8 Ave
48356,3158,W 63 St & Broadway
48285,447,8 Ave & W 52 St
47724,3244,University Pl & E 8 St
47645,212,W 16 St & The High Line
47568,3137,5 Ave & E 73 St
47099,361,Allen St & Hester St
47081,524,W 43 St & 6 Ave
46991,476,E 31 St & 3 Ave
46811,448,W 37 St & 10 Ave
46805,503,E 20 St & Park Ave
46665,304,Broadway & Battery Pl
46623,167,E 39 St & 3 Ave
45691,501,FDR Drive & E 35 St
45678,319,Fulton St & Broadway
45396,515,W 43 St & 10 Ave
45383,3159,W 67 St & Broadway
45350,526,E 33 St & 5 Ave
45121,3429,Hanson Pl & Ashland Pl
44901,412,Forsyth St & Canal St
44837,3236,W 42 St & Dyer Ave
44732,539,Metropolitan Ave & Bedford Ave
44699,536,1 Ave & E 30 St
44650,3235,E 41 St & Madison Ave
43974,268,Howard St & Centre St
43939,3686,Gansevoort St & Hudson St
