count,start_station_id,start_station_name,start_station_longitude,start_station_latitude
1,3250,NYCBS Depot - PIT,-73.98383796215057,40.71690978045965
1,428,E 3 St & 1 Ave,-73.98783413,40.72467721
2,3036,8D OPS 01,-73.99972200393677,40.662907768316856
3,3040,Handlebar @ Gowanus,-73.99497985839844,40.66979964220026
3,3488,8D QC Station 01,-73.5694634914398,45.506364054011385
3,3672,Apache,-73.99474382400513,40.66976709185003
5,3487,Prototype Lab Motivate Headquarters,-74.00849282741547,40.65659567482039
5,3594,Montgomery St & Franklin Ave OLD,-73.9593484,40.6661649
6,3245,NYCBS DEPOT - DELANCEY,-73.9823305606842,40.71644423134479
7,3040,GOW Tech Shop,-73.99497985839844,40.66979964220026
28,3426,JCBS Depot,-74.06860113143921,40.70965083364061
32,3485,NYCBS Depot - RIS,-73.974724,40.725208
62,3395,Henry St & W 9 St,-74.00324957,40.6763744
62,3720,Wyckoff St & Bond St,-73.98721285164356,40.68461653897949
69,3650,8D Mobile 01,-73.56890559196472,45.50626419100119
71,3685,Prospect Park - 5 Year Anniversary Celebration,-73.9645904302597,40.66065236872916
73,3240,NYCBS Depot BAL - DYR,-73.99385869503021,40.759030082196055
91,3683,Smart Cities Conference,-73.98453533649443,40.71015471094912
92,3669,Henry St & W 9 St (OLD),-74.00314047932625,40.67630357634183
124,3239,Bressler,-74.01658773422241,40.64653836709648
138,3716,40 Ave & Crescent St,-73.93795609474182,40.753599202005596
162,3395,Henry St & W 9 St [old],-74.00324957,40.6763744
222,3719,S Portland Ave & Atlantic Ave,-73.9738118648529,40.68322254161595
236,3721,31 St & Newtown Ave,-73.9209334552288,40.7675487799971
265,3704,47 Ave & Skillman Ave,-73.94176483154297,40.7437524099784
266,3642,E 98 St & Lexington Ave,-73.95012259483337,40.78728519860952
297,3468,NYCBS Depot - STY - Garage 4,-73.9747502,40.7303801
716,3238,E 80 St & 2 Ave,-73.9543953537941,40.77391390238118
810,3191,Union St,-74.0836394,40.7182113
810,3694,Jackson Square,-74.0789,40.71113
896,3333,Columbia St & Lorraine St,-74.0075572,40.6747055
907,3432,NYCBS Depot - GOW,-73.99463653564453,40.66906013501107
965,3714,Division Av & Hooper St,-73.9544353965357,40.70684203101325
1044,3791,Hoboken Ave at Monmouth St,-74.04696375131607,40.73520838045357
1059,3201,Dey St,-74.066921,40.737711
1140,3512,27 Ave & 4 St,-73.9337894,40.7747175
1155,3325,E 95 St & 3 Ave,-73.950503,40.7849032
1245,3620,11 St & 43 Ave,-73.9479119,40.7519071
1271,3567,11 St & 35 Ave,-73.9391141,40.7627442
1403,2005,Railroad Ave & Kay Ave,-73.97100056,40.70531194
1478,3559,21 St & 38 Ave,-73.9391224,40.7576314
1501,3564,21 St & 36 Ave,-73.9362726,40.7601853
1513,3277,Communipaw & Berry Lane,-74.06661093235016,40.71435836870427
1515,3700,E 87 St & 3 Ave,-73.95333588123322,40.77940608529787
1538,3596,Sullivan Pl & Bedford Ave,-73.9574686,40.6642406
1607,253,W 13 St & 5 Ave -moved to 5947.04,-73.99453948,40.73543934
1659,3557,40 Ave & 9 St,-73.945133,40.75742
1670,3586,34 Ave & 13 St,-73.9364848,40.7638753
1794,3644,Van Dyke St & Van Brunt St,-74.01488184928894,40.67581622522832
1818,3196,Riverview Park,-74.0439909,40.7443187
1825,3677,Glenwood Ave,-74.07106071710587,40.72755146730012
1899,3590,Carroll St & Franklin Ave,-73.9588,40.6679411
1919,3394,Columbia St & W 9 St,-74.00647134,40.6769993
1927,3625,28 St & 40 Ave,-73.9364281,40.7525758
1966,3281,Leonard Gordon Park,-74.0572714805603,40.74590996631558
1991,3718,E 11 St & Avenue B,-73.97950418293476,40.72746420692392
2021,3692,5 St & Market St,-73.97440128028393,40.699997484388504
2047,3212,Christ Hospital,-74.050443636,40.734785818
2109,3669,Henry St & W 9 St,-74.00314047932625,40.67630357634183
2127,3661,Montgomery St & Franklin Ave,-73.9605563879013,40.666439306870814
2139,3631,Crown St & Bedford Ave,-73.956741,40.666563
2144,3220,5 Corners Library,-74.0595030784607,40.734961020009514
2175,3492,E 118 St & Park Ave,-73.9419949,40.8005385
2222,3198,Heights Elevator,-74.04044330120087,40.748715945380226
2304,3647,48 Ave & 30 Pl,-73.93725872039794,40.74128309355993
2365,2001,Sands St & Navy St,-73.979927,40.699773
2392,3206,Hilltop,-74.0575736,40.7311689
2445,3268,Lafayette Park,-74.06285852193832,40.71346382669195
2452,3044,Albany Ave & Fulton St,-73.938475,40.6800105
2455,3330,Henry St & Bay St,-74.00494695,40.6725058
2474,3601,Sterling St & Bedford Ave,-73.9569115,40.6627059
2487,3621,27 Ave & 9 St,-73.9309134,40.7739825
2489,3525,23 Ave & 27 St,-73.9153175,40.776165
2518,433,old - E 13 St & Avenue A,-73.98057249,40.72955361
2519,NULL,NULL,-73.923,40.845
2519,NULL,NULL,-73.92,40.848
2519,NULL,NULL,-73.917,40.848
2519,NULL,NULL,-73.917,40.851
2519,NULL,NULL,-73.914,40.845
2519,NULL,NULL,-73.914,40.848
2519,NULL,NULL,-73.914,40.851
2519,NULL,NULL,-73.911,40.845
2519,NULL,NULL,-73.911,40.848
2519,NULL,NULL,-73.911,40.851
2519,NULL,NULL,-73.911,40.854
2519,NULL,NULL,-73.911,40.857
2519,NULL,NULL,-73.908,40.845
2519,NULL,NULL,-73.908,40.848
2519,NULL,NULL,-73.908,40.851
2519,NULL,NULL,-73.908,40.854
2519,NULL,NULL,-73.908,40.857
2519,NULL,NULL,-73.908,40.86
2519,NULL,NULL,-73.905,40.845
2519,NULL,NULL,-73.905,40.848
2519,NULL,NULL,-73.905,40.851
2519,NULL,NULL,-73.905,40.854
2519,NULL,NULL,-73.905,40.857
2519,NULL,NULL,-73.905,40.86
2519,NULL,NULL,-73.905,40.863
2519,NULL,NULL,-73.902,40.845
2519,NULL,NULL,-73.902,40.848
2519,NULL,NULL,-73.902,40.851
2519,NULL,NULL,-73.902,40.854
2519,NULL,NULL,-73.902,40.857
2519,NULL,NULL,-73.902,40.86
2519,NULL,NULL,-73.902,40.863
2519,NULL,NULL,-73.902,40.866
2519,NULL,NULL,-73.902,40.869
2519,NULL,NULL,-73.899,40.845
2519,NULL,NULL,-73.899,40.848
2519,NULL,NULL,-73.899,40.851
2519,NULL,NULL,-73.899,40.854
2519,NULL,NULL,-73.899,40.857
2519,NULL,NULL,-73.899,40.86
2519,NULL,NULL,-73.899,40.863
2519,NULL,NULL,-73.899,40.866
2519,NULL,NULL,-73.899,40.869
2519,NULL,NULL,-73.896,40.845
2519,NULL,NULL,-73.896,40.848
2519,NULL,NULL,-73.896,40.851
2519,NULL,NULL,-73.896,40.854
2519,NULL,NULL,-73.896,40.857
2519,NULL,NULL,-73.896,40.86
2519,NULL,NULL,-73.896,40.863
2519,NULL,NULL,-73.896,40.866
2519,NULL,NULL,-73.896,40.869
2519,NULL,NULL,-73.893,40.845
2519,NULL,NULL,-73.893,40.848
2519,NULL,NULL,-73.893,40.851
2519,NULL,NULL,-73.893,40.854
2519,NULL,NULL,-73.893,40.857
2519,NULL,NULL,-73.893,40.86
2519,NULL,NULL,-73.893,40.863
2519,NULL,NULL,-73.893,40.866
2519,NULL,NULL,-73.89,40.842
2519,NULL,NULL,-73.89,40.845
2519,NULL,NULL,-73.89,40.848
2519,NULL,NULL,-73.89,40.851
2519,NULL,NULL,-73.89,40.854
2519,NULL,NULL,-73.89,40.857
2519,NULL,NULL,-73.89,40.86
2519,NULL,NULL,-73.89,40.863
2519,NULL,NULL,-73.887,40.839
2519,NULL,NULL,-73.887,40.842
2519,NULL,NULL,-73.887,40.845
