count,age
1756269,51
774127,32
758927,30
755649,31
716020,29
700018,33
675944,28
669057,34
655902,35
612905,27
606547,36
558809,37
537200,38
496783,39
468678,26
452935,40
421711,41
378778,42
364027,43
355335,44
344361,50
339768,45
338523,25
321587,46
317661,49
316752,47
308804,48
284697,52
275702,53
256284,54
250835,56
248914,55
239278,57
226234,58
202161,60
198083,24
196721,59
171379,61
153308,62
152698,23
142291,63
126754,64
117804,22
95675,65
94272,66
89525,21
81974,67
54688,20
53855,68
49758,69
37583,70
29551,71
29028,72
25588,19
25531,73
20827,74
10223,75
10146,78
9213,76
7911,18
7818,77
7449,79
5070,80
2619,83
1784,82
1718,81
1479,97
1056,84
1016,85
878,86
784,88
606,87
494,108
415,90
403,96
368,110
257,99
192,111
187,89
149,103
136,102
115,91
92,101
80,113
76,104
57,17
37,94
31,105
22,98
20,109
19,116
16,107
7,93
7,100
6,92
3,114
1,95
1,115
